Date,Price,Open,High,Low,Vol.,Change %,Prev_Price,Price_Change,7_day_avg,30_day_avg
2013-08-13,1320.6,1335.6,1340.9,1318.0,4420.0,-1.03,1334.3,-13.700000000000045,1306.8,1292.44
2013-08-14,1333.6,1320.7,1336.1,1315.5,3050.0,0.98,1320.6,13.0,1311.2857142857142,1295.1433333333334
2013-08-15,1361.1,1335.4,1369.2,1318.2,5600.0,2.06,1333.6,27.5,1322.5,1300.09
2013-08-16,1371.0,1365.0,1379.1,1357.0,7040.0,0.73,1361.1,9.900000000000091,1334.7142857142858,1305.3466666666668
2013-08-19,1365.7,1376.0,1382.4,1362.2,6330.0,-0.39,1371.0,-5.2999999999999545,1342.6571428571426,1309.686666666667
2013-08-20,1372.6,1365.2,1377.2,1351.6,4380.0,0.51,1365.7,6.899999999999864,1351.2714285714285,1313.89
2013-08-21,1370.1,1370.4,1377.7,1359.6,6150.0,-0.18,1372.6,-2.5,1356.3857142857141,1317.96
2013-08-22,1370.7,1366.3,1381.2,1354.5,5310.0,0.04,1370.1,0.6000000000001364,1363.542857142857,1320.97
2013-08-23,1395.6,1375.8,1399.4,1367.8,5500.0,1.82,1370.7,24.899999999999864,1372.4,1324.8866666666668
2013-08-26,1393.0,1398.1,1406.9,1388.9,3910.0,-0.19,1395.6,-2.599999999999909,1376.957142857143,1328.5200000000002
2013-08-27,1420.0,1404.8,1423.9,1395.6,8740.0,1.94,1393.0,27.0,1383.957142857143,1332.8266666666668
2013-08-28,1418.5,1417.0,1432.9,1413.2,10350.0,-0.11,1420.0,-1.5,1391.5,1337.5166666666667
2013-08-29,1412.7,1412.7,1412.7,1412.7,147100.0,-0.41,1418.5,-5.7999999999999545,1397.2285714285713,1341.79
2013-08-30,1395.9,1395.9,1395.9,1395.9,147100.0,-1.19,1412.7,-16.799999999999955,1400.9142857142858,1345.2133333333334
2013-09-02,1412.0,1394.0,1416.4,1373.6,206000.0,1.15,1395.9,16.09999999999991,1406.814285714286,1347.7333333333333
2013-09-03,1411.8,1387.5,1415.9,1383.6,20.0,-0.01,1412.0,-0.20000000000004547,1409.1285714285714,1350.2966666666664
